operation,characters,tools,p50_ms,p95_ms,p99_ms,bytes_per_iteration
saved_compare_before,10000,0,0.065,0.079,0.081,76560
saved_compare_after,10000,0,0.015,0.018,0.024,0
two_menus_before,10000,0,0.000,0.000,0.000,0
one_batch_cold,10000,0,0.001,0.005,0.006,3536
one_batch_warm,10000,0,0.000,0.000,0.005,80
two_menus_before,10000,10,4.616,7.326,7.517,1204844
one_batch_cold,10000,10,0.317,0.388,0.414,199008
one_batch_warm,10000,10,0.074,0.095,0.477,137776
two_menus_before,10000,100,46.439,55.724,57.555,12048646
one_batch_cold,10000,100,1.344,1.648,1.691,1428047
one_batch_warm,10000,100,1.075,1.281,1.459,1366781
saved_compare_before,1000000,0,3.154,4.356,4.397,7637646
saved_compare_after,1000000,0,0.669,0.703,1.024,0
two_menus_before,1000000,0,0.000,0.000,0.000,0
one_batch_cold,1000000,0,0.001,0.002,0.003,3536
one_batch_warm,1000000,0,0.000,0.000,0.001,80
two_menus_before,1000000,10,4.020,4.411,4.441,1204844
one_batch_cold,1000000,10,0.292,0.376,0.439,199008
one_batch_warm,1000000,10,0.068,0.086,0.290,137838
two_menus_before,1000000,100,35.296,39.906,39.928,12048544
one_batch_cold,1000000,100,0.810,1.000,1.015,1428047
one_batch_warm,1000000,100,0.637,0.831,0.847,1366844
saved_compare_before,10000000,0,23.511,29.650,29.788,76363840
saved_compare_after,10000000,0,6.591,7.670,7.741,0
two_menus_before,10000000,0,0.000,0.000,0.001,0
one_batch_cold,10000000,0,0.001,0.001,0.004,3536
one_batch_warm,10000000,0,0.000,0.000,0.001,80
two_menus_before,10000000,10,3.518,3.845,3.874,1204844
one_batch_cold,10000000,10,0.242,0.292,0.389,197743
one_batch_warm,10000000,10,0.053,0.055,0.060,136432
two_menus_before,10000000,100,34.145,36.174,37.437,12048646
one_batch_cold,10000000,100,0.753,0.947,0.965,1415250
one_batch_warm,10000000,100,0.519,0.622,0.800,1353917
